team1,team2,winner,venue,city,date,toss_winner
Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2012-05-06,Royal Challengers Bangalore
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,2012-05-07,Delhi Daredevils
Pune Warriors,Rajasthan Royals,Rajasthan Royals,Subrata Roy Sahara Stadium,Pune,2012-05-08,Pune Warriors
Deccan Chargers,Kings XI Punjab,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2012-05-08,Deccan Chargers
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,2012-05-09,Royal Challengers Bangalore
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Sawai Mansingh Stadium,Jaipur,2012-05-10,Chennai Super Kings
Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,Pune,2012-05-11,Pune Warriors
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Eden Gardens,Kolkata,2012-05-12,Mumbai Indians
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2012-05-12,Chennai Super Kings
Rajasthan Royals,Pune Warriors,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2012-05-13,Rajasthan Royals
Kings XI Punjab,Deccan Chargers,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2012-05-13,Deccan Chargers
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,2012-05-14,Mumbai Indians
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Eden Gardens,Kolkata,2012-05-14,Chennai Super Kings
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,Delhi,2012-05-15,Kings XI Punjab
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Wankhede Stadium,Mumbai,2012-05-16,Mumbai Indians
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dharamsala,2012-05-17,Kings XI Punjab
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,2012-05-17,Delhi Daredevils
Deccan Chargers,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2012-05-18,Rajasthan Royals
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,Dharamsala,2012-05-19,Delhi Daredevils
Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Pune,2012-05-19,Kolkata Knight Riders
Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2012-05-20,Royal Challengers Bangalore
Rajasthan Royals,Mumbai Indians,Mumbai Indians,Sawai Mansingh Stadium,Jaipur,2012-05-20,Rajasthan Royals
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Pune,2012-05-22,Kolkata Knight Riders
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,M Chinnaswamy Stadium,Bangalore,2012-05-23,Mumbai Indians
